N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact
2,46,100,True,converged,0.003200054168701172,0.0,1.1921405951430994,2.943761814847703,0.0,True,converged,0.00012074999540345743,0.0,0.0,1.1922597853598091,1.1920237699016016,2.9437612584945168,4.8637376434204536e-05,8.456361916590137e-05,True,1.0,1.0
2,47,100,True,converged,0.0030829906463623047,0.0,1.0033739967509927,1.4101172326687328,0.0,True,converged,0.00010908299736911431,0.0,0.0,1.003474314083194,1.0032756699177647,1.4101187101210124,4.462084833412087e-05,8.660498618959284e-05,True,0.0,0.0
2,48,100,True,converged,0.003240823745727539,0.0,0.7316847974815606,0.6267964340007344,0.0,True,converged,0.00011100000119768083,0.0,0.0,0.7317579513276169,0.7316130951559165,0.626796274418561,3.810381130210178e-05,5.6684739066733934e-05,True,1.0,1.0
2,49,100,True,converged,0.0030829906463623047,0.0,0.9295294049681326,1.1876254142211737,0.0,True,converged,9.59169992711395e-05,0.0,0.0,0.9296223393180472,0.9294383146238754,1.1876254242922406,4.294750791956321e-05,6.330787362751646e-05,True,1.0,1.0
4,0,100,True,converged,0.057392120361328125,2.0,0.9871858959012001,0.5000000000000006,0.0,True,converged,0.001843124999140855,1.0,1.0,0.9872879156740174,0.9870896523130694,0.5000479010121816,0.0008775544761887257,0.001972370250983127,True,4.0,4.0
4,1,100,True,converged,0.005438089370727539,0.0,0.5809515023531238,0.533438202221222,0.0,True,converged,0.0003889580038958229,0.0,0.0,0.5810095858843295,0.580894571316767,0.5334421432146731,4.0376980721188065e-05,9.085384494400983e-05,True,3.0,3.0
4,2,100,True,converged,0.005472898483276367,0.0,0.2826343784813612,1.0618969745848068,0.0,True,converged,0.0003319999959785491,0.0,0.0,0.2826626362665219,0.28260668138786577,1.061896223261144,2.8162836519341107e-05,6.897841288408363e-05,True,2.0,2.0
4,3,100,True,converged,0.005360126495361328,0.0,1.0468373398976205,1.0430680080584294,0.0,True,converged,0.00032749999809311703,0.0,0.0,1.046942002694864,1.0467347538221632,1.0430680080584283,5.420052628150415e-05,0.00010243969893875979,True,4.0,4.0
4,4,100,True,converged,0.017910003662109375,1.0,0.5457873663552482,0.49999999999999967,0.0,True,converged,0.001883665994682815,1.0,1.0,0.545842962049127,0.5457349085925179,0.5016638641443568,0.00040069002690956446,0.000926417410930709,True,6.0,6.0
4,5,100,True,converged,0.005881071090698242,0.0,0.23979178261110562,1.1132138818481327,0.0,True,converged,0.0003906250058207661,0.0,0.0,0.23981575699353108,0.2397682839289632,1.1132139642935857,2.5940661644477412e-05,5.2561802769637386e-05,True,1.0,1.0
4,6,100,True,converged,0.005591869354248047,0.0,1.1572857588713832,0.7639577885851861,0.0,True,converged,0.0003845000028377399,0.0,0.0,1.1574014643015553,1.1571723492711894,0.763957788585185,5.698810362742879e-05,0.0001001567279584988,True,3.0,3.0
4,7,100,True,converged,0.0055730342864990234,0.0,0.8596347862706897,1.8854119122755912,0.0,True,converged,0.00043166599789401516,0.0,0.0,0.8597207325566214,0.8595505453330682,1.8854117000227932,4.911576261238253e-05,8.1635205829982e-05,True,0.0,0.0
4,8,100,True,converged,0.26416802406311035,5.0,1.1074805483095638,0.4999024260039787,0.0,True,converged,0.00667358300415799,3.0,1.0,1.1077530515283112,1.107528492114329,0.5000529145720051,0.011700906729121809,0.03001679784736582,True,4.0,4.0
4,9,100,True,converged,0.005548000335693359,0.0,0.5509436611253025,1.018696010238679,0.0,True,converged,0.00035679199936566874,0.0,0.0,0.550998744472542,0.5508896707431878,1.0186942669180954,3.932036098291472e-05,7.873889565350361e-05,True,1.0,1.0
4,10,100,True,converged,0.04829001426696777,2.0,0.8710574084629348,0.5000584706908706,0.0,True,converged,0.0015437080000992864,1.0,1.0,0.871150602054499,0.870977199208521,0.5001920962805816,0.0017491579317568202,0.004051127569789154,True,2.0,2.0
4,11,100,True,converged,0.005372762680053711,0.0,1.0267262320336183,1.83087109802476,0.0,True,converged,0.00034345799940638244,0.0,0.0,1.0268288841222977,1.026625616770197,1.8308728557237184,5.367737014004034e-05,0.00011003913308180169,True,2.0,2.0
4,12,100,True,converged,0.00565791130065918,0.0,0.25361827392712405,1.58611706796561,0.0,True,converged,0.00040433299727737904,0.0,0.0,0.25364363068215134,0.25359342030145093,1.5861180690481778,2.6678055528238967e-05,5.568716474105883e-05,True,1.0,1.0
4,13,100,True,converged,0.005640745162963867,0.0,0.6340608028384849,2.7837197274116887,0.0,True,converged,0.0003452079981798306,0.0,0.0,0.6341241962375526,0.6339986672927933,2.7837197274116887,4.218221238881842e-05,7.845998310912124e-05,True,0.0,0.0
4,14,100,True,converged,0.005465984344482422,0.0,0.3450734715263276,2.120896368488457,0.0,True,converged,0.0003362079951330088,0.0,0.0,0.345107971972011,0.34503965563933253,2.120896396812714,3.111857400391198e-05,6.610931020904968e-05,True,0.0,0.0
4,15,100,True,converged,0.07010221481323242,2.0,0.92883597886973,0.5000157449973609,0.0,True,converged,0.0016350839941878803,1.0,1.0,0.9289389672811765,0.9287546605972262,0.5003277260746845,0.0023422075855317305,0.005368245157443257,True,1.0,1.0
4,16,100,True,converged,0.019727706909179688,1.0,0.45683406285381595,0.5000000000000002,0.0,True,converged,0.001469832997827325,1.0,1.0,0.4568808623257902,0.4567904197495657,0.501200026680716,0.0003360894830431232,0.0007742521782046093,True,1.0,1.0
4,17,100,True,converged,0.0052721500396728516,0.0,0.7450446254401976,0.991225542187737,0.0,True,converged,0.00031754199881106615,0.0,0.0,0.7451191150018492,0.7449716139022521,0.9912272000538911,4.572514001447458e-05,0.0001026959131078766,True,4.0,4.0
