N,seed,K,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,scp_min_dist_continuous,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact
16,3,150,True,converged,0.0704346659767907,3,1,1.9909279196302585,1.990754575677844,0.50000130239791,True,converged,23.614618062973022,7,1.9907566937828232,0.5000000003654916,0.0,0.4657087502333288,0.0197130758972109,0.081387331919688,True,61,61
16,3,200,True,converged,0.06784879200858995,3,1,1.9908501594444012,1.990754575677844,0.5015412235342462,True,converged,19.171623945236206,3,1.9907038903171275,0.5000004115811906,0.0,0.4811220414068698,0.010111643758725579,0.05089574675664674,True,61,61
16,4,10,True,converged,0.1154392909957096,4,1,1.490302351542637,1.4610698240719104,0.730709276881289,True,converged,0.0025501251220703,0,1.4745115893776206,0.6373570315767636,0.0,0.1640046497159629,0.0591410080482208,0.1728823942560023,True,51,51
16,4,15,True,converged,0.1198502919869497,4,1,1.474060263393989,1.4610698240719104,0.5801939699672893,True,converged,0.0609307289123535,2,1.4663617182202369,0.5000000000000008,0.0,0.1640046497159482,0.0558643812105161,0.1721345401561264,False,51,51
16,4,25,True,converged,0.1154392909957096,4,1,1.4657476417339,1.4610698240719104,0.5028651782359628,True,converged,0.1932768821716308,2,1.462825126798796,0.4999999999999995,0.0,0.2252506100159323,0.0390851989221866,0.1662708744710327,True,51,51
16,4,35,True,converged,0.1198502919869497,4,1,1.463452879250729,1.4610698240719104,0.5180719545971503,True,converged,0.7087159156799316,3,1.461289424522225,0.4999999999999999,0.0,0.1640046497159268,0.0481573409103155,0.1695943910240439,True,51,51
16,4,50,True,converged,0.1154392909957096,4,1,1.46223760659324,1.4610698240719104,0.5027984216778323,True,converged,2.1414990425109863,3,1.461511482883696,0.5000000000000007,0.0,0.4624801416485918,0.0161912690077364,0.0531923324494501,True,51,51
16,4,75,True,converged,0.1154392909957096,4,1,1.461586821590201,1.4610698240719104,0.5028651782359628,True,converged,2.9022669792175293,3,1.4611332887607436,0.5000000000000002,0.0,0.45066772605912,0.0154537367749352,0.0530296090191853,True,51,51
16,4,100,True,converged,0.1154392909957096,4,1,1.461359573975643,1.4610698240719104,0.5001971062040401,True,converged,6.526388168334961,3,1.461147858468746,0.5000000000050105,0.0,0.472683159529407,0.0111386124224376,0.0371633882713867,True,51,51
16,4,150,True,converged,0.1154392909957096,4,1,1.4611968588498363,1.4610698240719104,0.5018102098442315,True,converged,14.45164394378662,4,1.4610785551180503,0.5000000000001888,0.0,0.4854439945715661,0.0097796046547508,0.034854135654209,True,51,51
16,4,200,True,converged,0.1286599169834517,4,1,1.4611399978926456,1.4610698240719104,0.5001971062040401,True,converged,18.124592304229736,3,1.4610657837891363,0.5000195839554393,0.0,0.4899012939036517,0.006473998352768012,0.024845277477072734,True,51,51
16,5,10,True,converged,0.3463492499722633,5,1,1.8947373286209293,1.8575570940529256,0.5041880690850452,True,converged,0.042147159576416,3,1.8752364409410425,0.5000024490245443,0.0,0.2022237665585741,0.0466784024700011,0.1786774869177622,False,58,58
16,5,15,True,converged,0.3411922920204233,5,1,1.8740704984897325,1.8575570940529256,0.504188069085045,True,converged,0.070228099822998,2,1.8648691728467632,0.5000444751835685,0.0,0.1426675221367613,0.0580950913405435,0.2042951793713756,True,58,58
16,5,25,True,converged,0.3463492499722633,5,1,1.8635052993183625,1.8575570940529256,0.5009307700309009,True,converged,0.524677038192749,4,1.86001417305924,0.5000225664024276,0.0,0.266454880414642,0.0351622351032917,0.1780879503034919,False,58,58
16,5,35,True,converged,0.3411922920204233,5,1,1.8605878411246983,1.8575570940529256,0.5041880690850452,True,converged,0.9090161323547364,4,1.8584326694684377,0.5000053973275755,0.0,0.1979353930297097,0.040072336400155,0.1703327627946749,False,58,58
16,5,50,True,converged,0.3463492499722633,5,1,1.8590405217824648,1.8575570940529256,0.5009307700309009,True,converged,2.140972852706909,3,1.8577872251565688,0.5000030422206538,0.0,0.2885859654720928,0.0324608457830321,0.1652095603055968,True,58,58
16,5,75,True,converged,0.3463492499722633,5,1,1.8582142294580113,1.8575570940529256,0.5009307700309009,True,converged,4.410172939300537,4,1.857650666274936,0.5000000001502095,0.0,0.4110879742764071,0.0131745576528961,0.0527677511554131,True,58,58
16,5,100,True,converged,0.3463492499722633,5,1,1.8579248613165704,1.8575570940529256,0.5009307700309009,True,converged,6.745970964431763,3,1.8575289771502483,0.5000069700663949,0.0,0.4504573705934862,0.0160980595846142,0.0827946585626278,True,58,58
16,5,150,True,converged,0.3463492499722633,5,1,1.8577183055611168,1.8575570940529256,0.5002533304072241,True,converged,17.893110990524292,5,1.8576068344049297,0.5000002220964124,0.0,0.4906972144988654,0.0077373031853411,0.0273434203542837,True,58,58
16,5,200,True,converged,0.354186334006954,5,1,1.8576462630667872,1.8575570940529254,0.5002553100182086,True,converged,26.323596954345703,4,1.8575284605402764,0.5000000007989586,0.0,0.48087483764050787,0.0050374389269926744,0.022764172764586338,True,58,58
