N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact,scp_error
18,8,200,False,infeasible,,,,,,True,converged,0.869033833994763,8,1,1.996297203994898,1.9962010871501497,0.5001499225632986,,,,,,"OSQP failed: status='maximum iterations reached', code=7, iter=10000, prim_res=0.00014463206655195403, dual_res=3.1281358156629947e-07"
18,9,200,True,converged,32.78783702850342,3.0,1.755489381988037,0.5000047852739528,0.0,True,converged,0.08577408400014974,3,1,1.7555371754097986,1.755451827886909,0.5000046396683029,0.010247034972744921,0.05245950106225502,True,85.0,85.0,
18,10,200,True,converged,67.14429497718811,5.0,2.1309360707105687,0.4999999999999981,0.0,True,converged,2.646572625002591,8,1,2.1310281146311256,2.1309256455398686,0.5000034348586606,0.006106081506370575,0.020486178795330906,True,78.0,78.0,
18,11,200,True,converged,30.798054933547974,3.0,1.5559114452615384,0.5000000000088454,0.0,True,converged,0.0934460420103278,3,1,1.5560041556426558,1.5559294052884032,0.5001843563395186,0.0038525181056526,0.01821965732228548,True,75.0,75.0,
18,12,200,True,converged,125.09305214881897,5.0,2.1290547425393442,0.4999999999999991,0.0,True,converged,1.0230201660015155,7,1,2.1291819406800663,2.12907969136161,0.5002549639966628,0.008674288208196893,0.031063841118603826,True,75.0,75.0,
18,13,200,True,converged,24.041048049926758,3.0,1.4593759330260947,0.5000002529080367,0.0,True,converged,0.08542008398217149,3,1,1.4594360375121123,1.4593659126363212,0.5000021592302736,0.003172258801813137,0.014772517380717116,True,76.0,76.0,
18,14,200,True,converged,74.212082862854,5.0,1.4944108692790603,0.5000000000000004,0.0,True,converged,0.4994446669879835,7,1,1.4951785488059497,1.4951058139431046,0.5000007372169258,0.12887861831288155,0.589353916002479,False,62.0,62.0,
18,15,200,True,converged,168.31765699386597,7.0,1.3444735288238492,0.5000000000000003,0.0,True,converged,0.37501200000406243,5,1,1.3445512380372413,1.3444865468738652,0.5000608567979561,0.005677203503133014,0.024626867871296056,True,88.0,88.0,
18,16,200,True,converged,19.88302493095398,3.0,2.3301490851055706,0.500000005786232,0.0,True,converged,0.8487220829993021,8,1,2.3302634795508017,2.3301513035618604,0.5000195420114796,0.007918746206246696,0.03343469064326423,True,107.0,107.0,
18,17,200,True,converged,30.59650421142578,3.0,1.5611300332370157,0.500000000019036,0.0,True,converged,0.39376066700788215,5,1,1.5865190174328998,1.585359674312818,0.5000265359536991,0.10816657114116911,0.7084688070480302,True,69.0,69.0,
18,18,200,False,infeasible,,,,,,True,converged,0.14242762498906814,4,1,1.9112870100970545,1.911195176387119,0.5001989106997079,,,,,,"OSQP failed: status='maximum iterations reached', code=7, iter=10000, prim_res=5.272014483412311e-06, dual_res=1.7816762737724035e-07"
18,19,200,True,converged,105.47082090377808,5.0,2.7257190530094304,0.5000000000053269,0.0,True,converged,1.9288178749848157,8,1,2.7233701277944697,2.723235665678809,0.500017179037021,0.11357206240375531,0.5819199339441722,False,100.0,100.0,
18,20,200,True,converged,27.28783106803894,3.0,1.996088006742285,0.49999999999999983,0.0,True,converged,0.22005320800235495,5,1,1.996165612551859,1.9960696886753073,0.5000691119416009,0.0036209578868659485,0.01575299601406363,True,90.0,90.0,
18,21,200,True,converged,69.25723028182983,5.0,2.3757165931114206,0.4999999999999994,0.0,True,converged,0.9550096250022762,9,1,2.37588933716598,2.3757748917966417,0.500005800882993,0.013969428158313887,0.051962291962278855,True,67.0,67.0,
18,22,200,True,converged,58.559755086898804,3.0,1.573005830649514,0.5000007695409548,0.0,True,converged,0.3548992919968441,4,1,1.5790162391627307,1.5788293733509555,0.5014840875100604,0.13432947080989222,0.6724220645655837,False,70.0,70.0,
18,23,200,True,converged,38.75210404396057,4.0,2.4230352973125826,0.500000000455539,0.0,True,converged,0.9029086660011671,9,1,2.4232147572607636,2.4230979633613945,0.5000001250814117,0.004444702602909861,0.016201897098638236,True,104.0,104.0,
18,24,200,True,converged,13.721189260482788,2.0,1.6129427278592052,0.5000000000000002,0.0,True,converged,0.05566420799004845,2,1,1.61299959093664,1.612922171814959,0.5004655618489554,0.002699503864719603,0.012940850660998869,True,80.0,80.0,
18,25,200,True,converged,86.75624513626099,4.0,1.5610397916814696,0.500000000000009,0.0,True,converged,0.1770506659813691,4,1,1.5610880819385706,1.5610129313434067,0.5000051152685018,0.0014149596642207614,0.006324384335643855,True,56.0,56.0,
